tool,check_id,check_title,status,severity,service,resource_name,resource_id,region,description,remediation,compliance,timestamp,account_id
,app_client_certificates_on,Web app requires incoming client certificates,fail,medium,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,Clients are not required to present a certificate for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.,"Set `client certificate mode` to `Required` and validate client certs in application logic (issuer, validity, revocation).

Enforce HTTPS only, avoid broad exclusion paths, and manage certs via a trusted CA with rotation and revocation. Apply **least privilege** and **zero trust**, layering with private access or IP restrictions *as needed*.","CCC-v2025.10: CCC.Core.CN01.AR08 | CIS-2.0: 9.4 | ENS-RD2022: op.acc.5.r3.az.kv.1, op.acc.6.r3.az.kv.1 | FedRAMP-20x-KSI-Low-25.05C: ksi-svc | MITRE-ATTACK: T1040 | NIS2: 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c, 9.2.c.ii | PCI-4.0: 1.2.8.14, 1.2.8.15, 1.3.1.16, 1.3.1.17, 1.3.2.16, 1.3.2.17, 1.4.2.15, 1.4.2.16, 1.5.1.14, 1.5.1.15, 2.2.7.10, 3.5.1.1.5, 3.5.1.1.6, 3.5.1.3.12, 3.5.1.3.13, 3.6.1.2.5, 3.6.1.2.6, 3.6.1.3.5, 3.6.1.3.6, 3.6.1.4.5, 3.6.1.4.6, 3.6.1.5, 3.6.1.6, 3.7.1.6, 3.7.1.7, 3.7.2.5, 3.7.2.6, 3.7.4.6, 3.7.4.7, 3.7.6.5, 3.7.6.6, 3.7.7.5, 3.7.7.6, 4.2.1.1.14, 4.2.1.1.15, 4.2.1.10, 8.3.2.29, A1.1.3.14, A1.1.3.15",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_ensure_auth_is_set_up,App Service app has App Service Authentication enabled,fail,medium,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,Authentication is not set up for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.,"Enable App Service **Authentication/Authorization** and set `Require authentication` for unauthenticated requests. Use **Microsoft Entra** or a trusted IdP, restrict tenants/audiences, enforce HTTPS, and apply **least privilege** with role/claim checks and Conditional Access for defense-in-depth. Avoid `Allow anonymous requests`.","C5-2025: IAM-03.01AC | CCC-v2025.10: CCC.Core.CN05.AR01 | CIS-2.0: 9.1 | CIS-2.1: 9.1 | CIS-3.0: 9.2 | ENS-RD2022: op.acc.1.az.eid.1 | FedRAMP-20x-KSI-Low-25.05C: ksi-iam | NIS2: 2.1.2.g, 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c, 6.7.2.g, 11.1.1, 11.1.2.c, 11.6.1 | ProwlerThreatScore-1.0: 2.3.1",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_ensure_http_is_redirected_to_https,App Service web app redirects HTTP to HTTPS,pass,high,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,HTTP is redirected to HTTPS for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.,"Enforce **HTTPS-only** for all apps.
- Use trusted certificates and require `TLS 1.2` or later
- Enable **HSTS** to prevent downgrade/mixed-content
- Redirect legacy `http` links to `https`
- Minimize HTTP exposure via WAF/CDN or private access
Apply **defense in depth** to protect data in transit.","CCC-v2025.10: CCC.Core.CN01.AR01, CCC.Core.CN01.AR03 | CIS-2.0: 9.2 | CIS-2.1: 9.2 | CIS-3.0: 9.1 | ENS-RD2022: mp.com.3.az.nw.1 | FedRAMP-20x-KSI-Low-25.05C: ksi-svc | HIPAA: 164_312_e_1, 164_312_e_2_ii | MITRE-ATTACK: T1040 | NIS2: 2.1.2.g, 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c, 6.7.2.i, 6.7.2.l | PCI-4.0: 1.2.5.1, 1.2.5.6, 1.2.5.9, 1.2.5.10, 2.2.5.1, 2.2.5.6, 2.2.5.9, 2.2.5.10, 2.2.7.1, 2.2.7.4, 2.2.7.12, 2.2.7.13, 4.2.1.1.3, 4.2.1.1.8, 4.2.1.1.17, 4.2.1.1.18, 4.2.1.1, 4.2.1.4, 4.2.1.12, 4.2.1.13, 8.3.2.1, 8.3.2.7, 8.3.2.31, 8.3.2.32 | ProwlerThreatScore-1.0: 4.1.4 | RBI-Cyber-Security-Framework: annex_i_1_3 | SecNumCloud-3.2: 10.2",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_ensure_using_http20,App Service web app has HTTP/2.0 enabled,fail,low,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,HTTP/2.0 is not enabled for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.,"Enable **HTTP/2** (`http20_enabled=true`) to use a modern, efficient transport.

- Enforce `HTTPS Only` and a strong minimum `TLS` version for defense-in-depth
- Validate app/library compatibility before rollout
- Monitor performance and errors post-change; deploy gradually","CCC-v2025.10: CCC.Core.CN01.AR01 | CIS-2.0: 9.9 | CIS-2.1: 9.8 | CIS-3.0: 9.10 | HIPAA: 164_312_e_1 | NIS2: 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c | ProwlerThreatScore-1.0: 4.1.6",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_ftp_deployment_disabled,App Service web app has FTP disabled or FTPS-only enforced,pass,high,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,FTP is disabled for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.,"Disable FTP or enforce **FTPS** (`ftpsState: FtpsOnly` or `Disabled`).

Prefer **CI/CD** over manual FTP and apply **least privilege** with app-scoped credentials. Rotate publishing secrets, enforce modern TLS, and restrict access via private networking. *If FTP is unavoidable*, require FTPS and monitor publishing logs.","CCC-v2025.10: CCC.Core.CN01.AR01, CCC.Core.CN01.AR03 | CIS-2.0: 9.10 | CIS-2.1: 9.9 | CIS-3.0: 9.3 | HIPAA: 164_312_e_1 | NIS2: 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c | ProwlerThreatScore-1.0: 2.3.2 | SecNumCloud-3.2: 10.2",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_http_logs_enabled,App Service web app has HTTP logs enabled in diagnostic settings,fail,low,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,App ref3tier-dev-app-7mog1c does not have a diagnostic setting in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).,"Enable **diagnostic settings** with `AppServiceHTTPLogs` (or `allLogs`) and route logs to a centralized store. Enforce **least privilege**, retention, and tamper-resistant storage. Integrate with a **SIEM** for analytics and alerting, and periodically verify logging coverage across all apps and regions.","C5-2025: OIS-08.07B, AM-01.01AC, OPS-11.02AC, OPS-15.01B, OPS-15.02B, OPS-15.03B, OPS-15.01AC, OPS-26.05B, DEV-08.02B, SIM-03.06B, SIM-03.07B, PSS-04.01B | CCC-v2025.10: CCC.Core.CN04.AR02, CCC.Core.CN04.AR03, CCC.Logging.CN01.AR02 | CIS-2.0: 5.1.7 | CIS-2.1: 5.1.6 | CIS-3.0: 6.1.6 | CIS-4.0: 7.1.1.6 | CIS-5.0: 6.1.1.6 | ENS-RD2022: op.mon.3.az.nw.1 | FedRAMP-20x-KSI-Low-25.05C: ksi-mla | HIPAA: 164_308_a_1_ii_d, 164_308_a_3_ii_a, 164_308_a_6_ii, 164_312_b | ISO27001-2022: A.8.15 | NIS2: 2.1.2.g, 2.1.2.h, 3.2.1, 3.2.3.c, 3.2.3.e, 3.2.3.g, 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c, 11.2.2.f | PCI-4.0: 10.2.1.1.1, 10.2.1.1.2, 10.2.1.1.4, 10.2.1.1.18, 10.2.1.1.19, 10.2.1.2.1, 10.2.1.2.2, 10.2.1.2.4, 10.2.1.2.15, 10.2.1.2.16, 10.2.1.3.1, 10.2.1.3.2, 10.2.1.3.4, 10.2.1.3.15, 10.2.1.3.16, 10.2.1.4.1, 10.2.1.4.2, 10.2.1.4.4, 10.2.1.4.15, 10.2.1.4.16, 10.2.1.5.1, 10.2.1.5.2, 10.2.1.5.4, 10.2.1.5.15, 10.2.1.5.16, 10.2.1.6.1, 10.2.1.6.2, 10.2.1.6.4, 10.2.1.6.15, 10.2.1.6.16, 10.2.1.7.1, 10.2.1.7.2, 10.2.1.7.4, 10.2.1.7.15, 10.2.1.7.16, 10.2.1.1, 10.2.1.2, 10.2.1.4, 10.2.1.15, 10.2.1.16, 10.2.2.1, 10.2.2.2, 10.2.2.4, 10.2.2.15, 10.2.2.16, 10.3.1.1, 10.3.1.2, 10.3.1.4, 10.3.1.15, 10.3.1.16, 10.6.3.1, 10.6.3.2, 10.6.3.4, 10.6.3.19, 10.6.3.20, 5.3.4.1, 5.3.4.2, 5.3.4.4, 5.3.4.18, 5.3.4.19, A1.2.1.1, A1.2.1.2, A1.2.1.4, A1.2.1.19, A1.2.1.20 | ProwlerThreatScore-1.0: 3.1.9 | RBI-Cyber-Security-Framework: annex_i_7_4 | SecNumCloud-3.2: 12.6 | SOC2: cc_7_2, cc_7_3, cc_a_1_1, pi_1_2",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_minimum_tls_version_12,App Service web app has minimum TLS version set to 1.2 or 1.3,pass,medium,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,Minimum TLS version is set to 1.2 for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.,"Enforce a minimum of `TLS 1.2` (prefer `1.3`) and disable `1.0/1.1`. Require **HTTPS-only**, enable HSTS, and align with modern cipher suites. Test client compatibility and phase out legacy agents. Document narrow exceptions with compensating controls to uphold **defense in depth** and prevent downgrades.","C5-2025: CRY-04.01B, CRY-04.01AS, COS-08.02B | CCC-v2025.10: CCC.Core.CN01.AR01 | CIS-2.0: 9.3 | CIS-2.1: 9.3 | CIS-3.0: 9.4 | ENS-RD2022: mp.com.3.r2.az.tls.1 | FedRAMP-20x-KSI-Low-25.05C: ksi-svc | HIPAA: 164_312_e_1, 164_312_e_2_ii | ISO27001-2022: A.8.5, A.8.12, A.8.24 | MITRE-ATTACK: T1040 | NIS2: 2.1.2.g, 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c, 6.7.2.i, 6.7.2.l, 9.2.a, 12.2.2.b, 12.2.2.c | PCI-4.0: 1.2.5.2, 1.2.5.3, 2.2.5.2, 2.2.5.3, 2.2.7.2, 4.2.1.1.6, 4.2.1.2, 8.3.2.5 | ProwlerThreatScore-1.0: 4.1.5 | RBI-Cyber-Security-Framework: annex_i_1_3 | SecNumCloud-3.2: 10.2 | SOC2: cc_6_6, cc_6_7",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,app_register_with_identity,App Service web app has a managed identity configured,pass,medium,app,ref3tier-dev-app-7mog1c,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c,Central India,App 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)' has an identity configured.,"Enable a **managed identity** and use it for all service-to-service access. Apply **least privilege** on target resources and eliminate secrets from code and app settings. Remove legacy credentials, rotate residual keys, and monitor usage for **defense in depth**. *Use system-assigned per app; user-assigned for reuse or separation.*","CCC-v2025.10: CCC.Core.CN05.AR01 | CIS-2.0: 9.5 | CIS-2.1: 9.4 | CIS-3.0: 9.5 | ENS-RD2022: op.acc.1.az.eid.2 | FedRAMP-20x-KSI-Low-25.05C: ksi-iam | NIS2: 2.1.2.g, 2.1.2.i, 5.1.2.a, 6.2.1, 6.2.2.b, 6.2.2.c",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,appinsights_ensure_is_configured,Subscription has at least one Application Insights resource configured,fail,low,appinsights,843e85de-3f5f-4614-967a-9f39f1fe9ba7,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7,global,There are no AppInsight configured in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).,"Deploy **Application Insights** for all critical workloads and centralize data in a **Log Analytics workspace**. Configure actionable alerts and dashboards, enforce **least privilege** on telemetry, and set retention/export policies. Use private connectivity and appropriate sampling, and integrate with SIEM for **defense in depth**.","CIS-2.0: 5.3.1 | CIS-2.1: 5.3.1 | CIS-3.0: 6.3.1 | CIS-4.0: 7.1.3.1 | CIS-5.0: 6.1.3.1 | ENS-RD2022: mp.s.4.r1.az.nt.2 | FedRAMP-20x-KSI-Low-25.05C: ksi-mla | HIPAA: 164_308_a_1_ii_d, 164_312_b | NIS2: 3.2.3.h, 5.1.2.a | PCI-4.0: 10.2.1.1.3, 10.2.1.2.3, 10.2.1.3.3, 10.2.1.4.3, 10.2.1.5.3, 10.2.1.6.3, 10.2.1.7.3, 10.2.1.3, 10.2.2.3, 10.4.1.1.1, 10.4.1.1, 10.4.2.1, 10.6.3.3, 10.7.1.1, 10.7.2.1, 5.3.4.3, A1.2.1.3, A3.3.1.1, A3.5.1.1 | ProwlerThreatScore-1.0: 3.3.13 | RBI-Cyber-Security-Framework: annex_i_1_1",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
,defender_auto_provisioning_log_analytics_agent_vms_on,Defender auto-provisioning of Log Analytics agent for Azure VMs is enabled,fail,high,defender,default,/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/autoProvisioningSettings/default,global,Defender Auto Provisioning Log Analytics Agents from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF.,"Set **Defender for Cloud auto-provisioning** to `On` so all VMs receive the monitoring agent consistently.

Apply **defense in depth** by enforcing coverage for new and existing machines, standardizing workspaces, and auditing enrollment. Use **least privilege** for data access and integrate with endpoint protection and vulnerability assessment.","C5-2025: AM-01.01AC, OPS-04.01B, OPS-11.02AC, OPS-15.01B, OPS-15.02B, OPS-15.03B, OPS-15.01AC, OPS-23.01B, OPS-26.05B, DEV-08.02B, SIM-03.01B, SIM-03.06B, SIM-03.07B, PSS-04.01B | CIS-2.0: 2.1.15 | CIS-2.1: 2.1.14 | CIS-3.0: 3.1.1.1 | ENS-RD2022: op.mon.3.r2.az.de.1, mp.s.4.r1.az.nt.5 | FedRAMP-20x-KSI-Low-25.05C: ksi-mla | ISO27001-2022: A.8.15 | MITRE-ATTACK: T1190 | NIS2: 2.1.2.h, 3.1.2.d, 3.2.3.c, 3.2.3.e, 3.2.3.g, 3.6.2, 6.9.2, 11.2.2.f | SOC2: cc_3_2, cc_4_2, cc_6_8, cc_7_1, cc_7_2, cc_7_3, cc_a_1_1, pi_1_3",2026-06-27 09:46:44.662891,843e85de-3f5f-4614-967a-9f39f1fe9ba7
