PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_e_1;Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.;164.312 Technical Safeguards;;;azure;;PASS;HTTP is redirected to HTTPS for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_ensure_http_is_redirected_to_https;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_e_2_ii;Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.;164.312 Technical Safeguards;;;azure;;PASS;HTTP is redirected to HTTPS for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_ensure_http_is_redirected_to_https;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_e_1;Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.;164.312 Technical Safeguards;;;azure;;FAIL;HTTP/2.0 is not enabled for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_ensure_using_http20;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_e_1;Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.;164.312 Technical Safeguards;;;azure;;PASS;FTP is disabled for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_ftp_deployment_disabled;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_308_a_1_ii_d;Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.;164.308 Administrative Safeguards;;;azure;;FAIL;App ref3tier-dev-app-7mog1c does not have a diagnostic setting in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_http_logs_enabled;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_308_a_3_ii_a;Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.;164.308 Administrative Safeguards;;;azure;;FAIL;App ref3tier-dev-app-7mog1c does not have a diagnostic setting in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_http_logs_enabled;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_308_a_6_ii;"Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity or business associate; and document security incidents and their outcomes.";164.308 Administrative Safeguards;;;azure;;FAIL;App ref3tier-dev-app-7mog1c does not have a diagnostic setting in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_http_logs_enabled;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_b;Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.;164.312 Technical Safeguards;;;azure;;FAIL;App ref3tier-dev-app-7mog1c does not have a diagnostic setting in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_http_logs_enabled;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_e_1;Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.;164.312 Technical Safeguards;;;azure;;PASS;Minimum TLS version is set to 1.2 for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_minimum_tls_version_12;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
azure;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing. This framework maps HIPAA requirements to Microsoft Azure security best practices.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;Central India;2026-06-27 09:46:44.662891;164_312_e_2_ii;Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.;164.312 Technical Safeguards;;;azure;;PASS;Minimum TLS version is set to 1.2 for app 'ref3tier-dev-app-7mog1c' in subscription 'Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7)'.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.Web/sites/ref3tier-dev-app-7mog1c;app_minimum_tls_version_12;False;ref3tier-dev-app-7mog1c;HIPAA;HIPAA compliance framework for Azure;
